ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
5.958480919445584,-73.98232761403696,0.2151610494513348,0.2552473781356476,-1.90727535191606,0.31585193,0.2848787,,19.606453,20.077065,19.0542,1.0228653
6.10367313655684,-73.90746892503019,0.2572202591559728,1.5134825271751855,-0.9878252996521214,0.5684581,0.4984937,,20.19456,20.3635,20.368038,-0.0045375824
6.684196031456607,-73.9667340898219,0.205168673417453,0.5782906816465091,-1.6002325832878954,0.347984,0.3512143,,19.753462,19.710209,19.912985,-0.20277596
6.6049547254439736,-73.93944309252588,0.2177364536627594,0.6991781799559762,-0.8039037067782702,0.36157432,0.36403954,,19.833529,19.966806,19.142685,0.8241215
6.775960928637719,-73.89535987768373,0.204611699445012,0.3613986108095696,-1.351691720360403,0.33652282,0.31930637,,19.697,19.694904,19.80998,-0.115076065
6.757509659325354,-73.90281677309483,0.2385079656809674,0.6190034682315915,-1.5485960794433022,0.29956767,0.2701647,,19.540524,19.655622,18.83642,0.8192024
6.835147573408015,-73.89555209615693,0.2423995351109726,0.529702013997255,-1.3094809463999395,0.18566379,0.17500961,,18.879961,19.34793,18.332844,1.0150871
6.71357604563721,-73.87182034845182,0.2212816227304888,1.1335509232340708,-1.6795020300531798,0.37118515,0.3631111,,19.814777,20.306795,19.269194,1.0376015
6.96965911945439,-73.81350033133572,0.2511458111063049,0.259865842947382,-1.2648258911436976,0.14715354,0.14271119,,18.451487,18.953503,17.770489,1.1830139
6.499901254828607,-73.8900683018094,0.2415942127935548,0.9893493696713196,-1.393857597959896,0.41562802,0.39467743,,19.883287,19.701515,19.682497,0.019018173
6.202417344684345,-73.87892760763992,0.2372153066282755,0.2461653737911195,-1.4687868985093588,0.23301351,0.21292423,,19.161663,19.597305,18.595907,1.0013981
6.864882767280256,-73.77818611055044,0.2233973028635305,-0.1703561260546763,-0.9418342713119684,0.44766462,0.47801343,,20.034277,20.295807,19.59615,0.69965744
6.98375655108549,-73.76428258202496,0.2419517322761928,0.644772102538705,-0.9198013028621952,0.5854767,0.5852226,,20.338371,20.81687,19.961798,0.855072
5.726802717802406,-73.91540712917352,0.210276276173094,0.6989867281887598,-1.3531101891852433,0.13935542,0.1337782,,18.505163,19.066153,17.83012,1.2360325
5.835612441409412,-73.86120793075673,0.2085770569010919,0.2648814686359503,-1.4196406244412445,0.20196477,0.18548828,,19.02879,19.399569,18.440388,0.95918083
5.944043339930878,-73.82146881173526,0.2053217673930147,-0.0581427715283031,-1.269858813503924,0.29262227,0.2747137,,19.567614,19.657064,19.670773,-0.013708115
5.414166369202065,-73.89906039768937,0.2256859873272985,0.3476608893956924,-1.6698493778772,0.21788739,0.21163937,,19.17873,19.223772,19.146925,0.07684708
6.003869195424609,-73.76940390535249,0.2273187816210002,5.6915481456642905,-4.727078149375212,0.189624,0.1776587,,18.809172,18.921518,18.187809,0.73370934
