ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise
6.864882767280256,-73.77818611055044,0.2233973028635305,-0.17035612605467637,-0.9418342713119683,0.44766462,0.47801343,,20.034277,20.295807,19.59615,0.69965744,1.2001543,17.223974,25.154154,0.6711348
6.942829905226553,-73.7937439800878,0.24844633320944126,1.2192114572613073,-0.6864419042085329,0.6261593,0.57938826,,20.23692,20.629324,19.723352,0.9059715,1.1807741,12.977028,15.313063,1.3183635
6.98375655108549,-73.76428258202496,0.24195173227619288,0.644772102538705,-0.9198013028621951,0.5854767,0.5852226,,20.338371,20.81687,19.961798,0.855072,1.0621794,13.53871,16.66448,0.0
6.6793367549976415,-73.76532118501181,0.2103557546134738,3.278484024206807,0.00725746661977731,1.6818063,0.93414915,,20.576385,,,,,,,0.0
5.0804875479489064,-73.92640743129573,0.21878182915226188,-0.26794606314012775,-0.4304699605207216,1.1133013,1.2141997,,20.687717,20.699656,20.316929,0.38272667,1.30957,11.672487,4.1014256,0.0
5.726802717802406,-73.91540712917352,0.210276276173094,0.6989867281887598,-1.3531101891852433,0.13935542,0.1337782,,18.505163,19.066153,17.83012,1.2360325,1.2164296,55.190517,78.65993,0.0
5.835612441409412,-73.86120793075673,0.20857705690109193,0.2648814686359503,-1.4196406244412443,0.20196477,0.18548828,,19.02879,19.399569,18.440388,0.95918083,1.2391397,39.312653,79.02325,0.17949475
5.944043339930878,-73.82146881173526,0.20532176739301475,-0.058142771528303105,-1.269858813503924,0.29262227,0.2747137,,19.567614,19.657064,19.670773,-0.013708115,1.0506467,29.122328,19.486628,0.0
5.414166369202065,-73.89906039768937,0.22568598732729855,0.3476608893956924,-1.6698493778772001,0.21788739,0.21163937,,19.17873,19.223772,19.146925,0.07684708,1.1291938,64.49401,42.461285,0.0
6.003869195424609,-73.76940390535249,0.22731878162100025,5.6915481456642905,-4.727078149375212,0.189624,0.1776587,,18.809172,18.921518,18.187809,0.73370934,1.3999612,37.853897,41.036327,0.08415445
5.930393667026829,-73.77409144458296,0.20296788067486482,0.9143321347614277,-1.4770611550127415,0.77427614,0.70417064,,20.404495,20.52551,19.758076,0.7674351,1.4121783,7.6537166,12.73515,2.1053677
5.306469072673636,-73.81057371129518,0.2037003573568407,-0.06518438577424371,-0.37729422007193514,1.334495,1.4865382,,20.671364,20.850437,19.802052,1.0483856,1.5523751,4.7838564,3.3484101,1.6635051
5.699740556307857,-73.66705710508104,0.219527136474204,0.6627371607688992,-1.0424125228165728,0.21901883,0.19543898,,19.086693,19.675615,18.434872,1.2407436,1.1888558,30.35517,53.92583,0.0
5.097523994228787,-73.75058384548609,0.23779104180445784,0.8937682627374651,-0.7061549875301222,0.337968,0.31634596,,19.598522,20.28584,18.951956,1.3338833,1.1486231,20.306637,32.021015,0.5663687
5.2794254303332036,-73.70449306756298,0.22559046848252673,0.10395724960719255,-1.2746120519942057,0.27582175,0.28101572,,19.387415,19.453077,19.386135,0.066942215,1.1040895,46.43254,20.302214,0.36199078
5.502449619917337,-73.63858002050502,0.25315281913116316,0.6596647147617396,-3.130890742756008,0.84572864,0.70857084,,20.453753,20.420269,19.835701,0.584568,1.4916928,10.161841,14.702108,0.0
5.80881006192509,-73.60415869343058,0.2047091798675369,2.0151461146056806,0.19335024518352864,1.4269359,1.101684,,20.64601,20.948538,20.340944,0.60759354,1.1063477,7.753731,8.82277,0.0
6.267448826028564,-73.8071748633591,0.2073673736509076,0.39636132600988905,-1.188067397999188,0.2728118,0.25401127,,19.383335,19.820133,18.806324,1.0138092,1.2011801,38.806896,45.171967,0.72004825
6.246542600192672,-73.81531777364303,0.21242680370429196,0.28672148803211894,-1.4062625518309075,0.20461652,0.19017375,,19.014894,19.502136,18.457222,1.0449142,1.1665187,46.1015,77.793686,0.0
6.25283918810027,-73.8003353159439,0.21992139114726605,0.7183270162937165,-2.0994666421630135,0.23751871,0.22391513,,19.270727,19.497087,18.955593,0.54149437,1.1514283,51.813602,19.475496,0.0
6.1481661771337555,-73.79278210854366,0.22837366138602597,0.9110304180552755,-1.9236370723645044,0.3291853,0.30483556,,19.390505,19.515526,18.857592,0.6579342,1.3340062,27.730268,26.260672,1.6336555
6.265281344983026,-73.7577740156559,0.21272139562589584,-0.937407425176336,-2.686491276782185,0.69711596,0.68096703,,20.528547,20.792217,20.412304,0.37991333,1.0373553,17.508112,7.601983,0.0
6.963808778750916,-73.67382991493525,0.2256977289494984,0.26098767006754586,-1.5166354185650877,0.25562775,0.21599033,,18.986992,19.348448,18.463522,0.88492584,1.2015727,65.12577,107.26621,0.9668357
6.874088566276424,-73.62892451967467,0.22959615300162986,2.072011433255533,-2.4197441650224474,0.52407783,0.48012087,,19.991632,20.774937,19.277405,1.4975319,1.165139,14.736967,37.68186,0.2820832
6.91236987353734,-73.61521451798099,0.22349654419950848,0.19691539463282615,-0.6655848119693909,0.34509754,0.30373356,,19.503794,20.049963,18.973597,1.0763664,1.12448,26.280958,45.195724,0.4524208
6.938855354187262,-73.63316384065746,0.24243018229435986,0.3760698112196711,-1.0621529684215223,0.50527644,0.4702886,,19.988008,20.483849,19.449394,1.0344543,1.1506244,15.440003,35.319084,0.77248526
6.107250346183121,-73.74415333173614,0.2617309024609535,0.5906466805626374,-1.0490735979627375,0.45158175,0.48645532,,20.081482,20.943308,19.518208,1.4251003,1.0350639,11.447589,18.615288,0.8919094
6.566047349115712,-73.67756462906266,0.20848115007886353,0.13600155023604893,-1.2321111015389392,0.2037554,0.17688568,,18.842825,19.368958,18.19111,1.1778469,1.2138809,44.465553,78.59138,0.0
6.4892897728555825,-73.67748071493072,0.2313481311616402,0.8622733139033296,-1.6271840899997325,0.2840445,0.24586265,,19.305744,19.744041,18.78595,0.95809174,1.1637458,31.072613,61.104958,0.0
6.425674274461507,-73.61857209012585,0.223236401767812,0.5568326122169082,-2.5631087242420025,0.66267866,0.55685204,,20.340906,20.772467,19.800922,0.97154427,1.1795124,11.64695,18.087173,0.0
6.648617847845586,-73.58120049142397,0.22132100678945768,-1.96738781999727,-1.8028243404475681,0.73692656,0.609578,,20.05565,20.00233,18.990948,1.011383,1.8839824,23.565737,39.70579,3.7123396
6.637246898644301,-73.57033501263439,0.20511349139460142,0.2485210643677403,-2.0211671260816577,0.6131918,0.602115,,20.333302,20.835533,19.87862,0.956913,1.0965031,11.80637,18.229736,0.0
6.89522122581091,-73.51901925350948,0.2403511141848105,0.6332274903892955,-1.496014871647795,0.2248757,0.22145411,,18.941402,19.438087,18.352974,1.0851135,1.1827219,42.8775,66.29769,0.0
6.3337293521027815,-73.6214036224409,0.24551240732536211,0.6189273756352308,-1.0397796546616371,0.22010861,0.18632787,,18.906662,18.840042,18.93969,-0.09964752,1.1794336,43.283302,34.92223,0.0
6.688570516180753,-73.46928917455831,0.25878035951251155,0.4406923361031011,-1.4878538195615236,0.35764658,0.2708048,,19.407421,19.460293,19.553417,-0.09312439,1.0587201,46.854652,27.97921,0.0
6.070934035327647,-73.56594787469483,0.208886878140714,0.7290553192061293,-1.1889359407225422,0.17447528,0.12752625,,18.23445,18.760727,17.530067,1.2306595,1.2519542,36.834637,109.42906,0.05503347
6.339543872222946,-73.51221906769996,0.2527442201171696,0.7876159658042213,-1.0591046104221158,0.35085064,0.29553846,,19.451902,19.924612,18.849459,1.0751534,1.2023734,29.474037,44.91967,0.0
6.515105177003712,-73.49025696567742,0.24738576138492022,3.292349440002382,-2.0962385046361933,0.6003243,0.45345494,,19.855156,20.085676,19.206205,0.8794708,1.3517205,20.171007,38.452755,1.5505712
6.523440668019833,-73.4400992386478,0.24709765048031437,6.910963466278361,-3.226599865170997,0.15022084,0.117663994,,17.963406,18.31131,17.434177,0.8771324,1.2117257,51.48442,94.24272,0.23755142
6.5114350601547875,-73.43852339490826,0.20584539659126577,0.41559360683387697,-1.417553947043294,0.49714866,0.34146118,,19.78103,19.878168,19.841978,0.036190033,1.0611087,33.264755,15.789398,0.0
6.859474168051398,-73.3567479492358,0.20543136389580288,0.501374441155268,-0.660810490052449,0.70219016,0.7411439,,20.403275,20.541464,19.965763,0.57570076,1.2683696,10.826012,6.8120112,1.7408693
5.880286533312424,-73.45411547617381,0.2410500473957337,-0.8589606233694154,-0.611127983893305,1.0542196,1.2013861,,20.704224,20.743628,20.603186,0.1404419,1.1613568,5.6171803,10.439254,2.6533456
5.640103224135995,-73.43301357588173,0.24983995985839716,1.7154700403884429,-1.6569693924378144,0.6571188,0.59624547,,20.32781,21.111977,19.877514,1.2344627,0.98949033,10.5026655,14.557288,1.4599676
5.637611946831354,-73.38393669839859,0.22882574545052375,3.210313844055193,-1.3966896702433813,0.2749417,0.26777223,,19.315166,19.783955,18.84358,0.9403744,1.120828,21.245646,44.43689,0.0
5.6691417176058625,-73.36699808825058,0.20640902132830063,0.6108425301914943,-1.0735319973670636,0.158023,0.14984746,,18.278112,18.659094,17.709394,0.9496994,1.221316,47.69314,66.428024,0.0
5.22815281795229,-73.43546227442104,0.20316778621622872,0.5604018731413851,-1.2367340245401168,0.23863864,0.20707795,,18.8929,19.412107,18.249155,1.1629524,1.2111299,32.925,63.39846,0.0
5.663824575994015,-73.23697471264069,0.2587787400268833,0.13665300567330352,-0.9213460013841464,0.17853017,0.23371029,,18.874207,19.42335,18.232937,1.1904125,1.1971681,38.211266,48.9074,0.0
6.408011695123855,-73.36454939950112,0.25601018114837526,0.5445962887946088,-1.2434503586925951,0.30116248,0.25666296,,19.311655,19.799614,18.765186,1.0344276,1.1589905,31.098988,44.469376,0.0
6.834671058122021,-73.29322031506734,0.2617257034224112,1.087883347109068,-1.5633429957038179,0.23902805,0.20525914,,18.986313,19.489635,18.399546,1.0900898,1.1788182,23.228985,46.83485,0.778108
5.966257621486831,-73.38305473406781,0.2083938000528589,0.664256985706126,-1.2500517979038583,0.24672416,0.1959234,,18.91355,19.472647,18.240458,1.2321892,1.2157767,32.88725,78.099976,0.34946218
6.176291872428105,-73.31962378284541,0.2188830454562416,0.3132730865735668,-1.0452721417445698,0.30922982,0.295603,,19.188372,19.701336,18.682142,1.0191936,1.1231217,23.148666,37.405006,0.0
6.918112617749484,-73.20448989250508,0.2196561056494017,-0.04883838517536393,-1.3792111803586076,0.3144357,0.28830767,,19.691889,20.159363,19.080362,1.0790005,1.2108002,24.410866,35.36669,0.0
6.954088793183407,-73.18063795492083,0.21578438280312623,-0.6444140624002531,-2.0364676384524087,0.5566564,0.58889306,,20.24556,20.316391,19.63444,0.6819515,1.4184445,9.97283,14.437736,0.0
6.901036077627343,-73.13190388595858,0.2030554733637886,0.1219565911002655,-1.7500148033171372,0.3853754,0.39020804,,20.049799,20.405981,19.349407,1.0565739,1.3247526,16.10814,21.03137,0.0
